Level,Emoji,Phrase,Meaning
N1,⚖️,hou ga mashi da (ほうがましだ),better than; would rather ~
N1,➡️,houdai (放題（ほうだい）),doing as one pleases; to one's heart's content; leaving uncontrolled
N1,🤔,ikan da / ikan dewa / ikan ni yotte wa (いかんだ / いかんでは / いかんによっては),in accordance with; depending on; whether or not ~
N1,🤔,ikan ni kakawarazu / ikan ni yorazu / ikan o towazu (いかんにかかわらず / いかんによらず / いかんをとわず),regardless of; whether or not; doesn't matter whether ~
N1,‼️,ikanaru (いかなる),any kind of; every; whatsoever; whatever
N1,📏,ikani (いかに),how; in what way; how much; to what extent
N1,📌,ikani mo (いかにも),indeed; really; truly; just (like); very; extremely ~
N1,📥,izure ni shitemo / izure ni shiro / izure ni seyo (いずれにしても / いずれにしろ / いずれにせよ),anyhow; anyway; either way; in any case ~
N1,📌,jimita (じみた),to become; to appear like; to look like; tainted with ~
N1,🤔,ka ina ka (か否か（かいなか）),whether or not ~
N1,⚠️,ka to omoikiya (かと思いきや（かとおもいきや）),contrary to expectations; or so we thought; but ~
N1,💗,kagiri da (限りだ（かぎりだ）),to feel strongly
N1,🔀,kai mo naku (甲斐もなく（かいもなく）),despite; even though ~
N1,🤔,kanousei ga aru (可能性がある（かのうせいがある）),may/might; there’s a possibility that ~
N1,📍,kara aru / kara suru / kara no (からある / からする / からの),at least; as much as; as many as ~
N1,➕,kare~kare (かれ～かれ),sooner or later; more or less
N1,⏱️,katagata (かたがた),while; at the same time; incidentally; for the purpose of ~
N1,⏱️,katawara (かたわら),while; besides; at the same time; in addition
N1,⏮️,katsute (かつて),once; before; formerly; ever; former; ex-
N1,🔚,kirai ga aru (嫌いがある（きらいがある）),bad habit; to have a tendency to ~
N1,❓,kiri ga nai (切りがない（きりがない）),endless; boundless; going on forever​; there’s no end to ~
N1,🏆,kitte no (きっての),the most / greatest … of all
N1,‼️,kiwamaru / kiwamarinai (極まる / 極まりない（きわまる / きわまりない）),extremely; very ~
N1,🔀,koso are (こそあれ),although; even though ~
N1,⚠️,koso sure (こそすれ),and; although; but ~
N1,⚠️,koso~ga/keredo (こそ「～が・けれど」),but; although (emphasis)
N1,👌,koto gotoku (ことごとく),altogether; entirely; completely ~
N1,⚖️,koto kono ue nai / kono ue nai / kono ue naku (ことこの上ない / この上ない / この上なく（ことこのうえない / このうえない / このうえなく）),the most of all; the best; nothing is more ... than ~
N1,💡,koto mo atte (こともあって),partly because; also because of; plus the reason for ~
N1,➡️,koto nashi ni (ことなしに),without doing something
N1,❌,koto no nai you ni (ことのないように),so as not to; to not ~
N1,📅,koto tote (こととて),because; since ~
N1,⚖️,kurai nara (くらいなら),rather than (do ...)​
N1,❗,kurai no mono da (くらいのものだ),only (emphasis)
N1,1️⃣,made da / made no koto da (までだ / までのことだ),only; just; nothing else
N1,✅,made mo nai / made mo naku (までもない / までもなく),there's no need to; it’s not necessary to ~
N1,‼️,majiki (まじき),should not; must not ~
N1,🔁,makuru (まくる),to do over and over again; to do relentlessly
N1,📥,mamire (まみれ),covered with; stained; smeared with ~
N1,💯,marukkiri (まるっきり),completely; absolutely; totally; (not) at all​ ~
N1,👀,meku (めく),seems; show signs of; to have the appearance of ~
N1,📌,mo douzen da (も同然だ（もどうぜんだ）),just like; same as ~
N1,⚠️,mo saru koto nagara (もさることながら),one may well say so; but~; not only... but also ~
N1,📥,mo shinai de (もしないで),without even doing ~
N1,➕,mohaya (もはや),already; now; no longer; not anymore
N1,💡,mono de (もので),because; for that reason
N1,❓,mono o (ものを),if only; I wish; I'm sorry it's not actually (regret)
N1,🤷,mono to omowareru / mono to mirareru (ものと思われる / ものと見られる（ものとおもわれる / ものとみられる）),to think; to suppose; it is believed/expected that ~
N1,➕,mono to suru (ものとする),shall; to assume; understood as ~
N1,🤷,mono toshite (ものとして),to assume; to suppose; on the presumption that ~
N1,🔀,moshikuwa (もしくは),or; otherwise
N1,❓,n bakari ni (んばかりに),as if; as though ~
N1,🎯,n ga tame ni (んがために),in order to ~
N1,⏱️,nagara ni / nagara no (ながらに / ながらの),while; during; without change; performed in this condition
N1,🔀,nai made mo (ないまでも),not to say; although it does not reach the level of ~
N1,🎲,nai mono demo nai (ないものでもない),is not entirely impossible
N1,💪,nai mono ka / nai mono darou ka (ないものか / ないものだろうか),isn't there; can’t we…?; can’t I…?
N1,💪,nai tomo kagiranai (ないとも限らない（ないともかぎらない）),not necessarily; I can't say that; maybe; might ~
N1,💪,nakushite wa (なくしては),cannot do without ~
N1,➡️,nami (並み（なみ）),average; ordinary; same level as; equal to; on par with ~
N1,❓,nan to iu / nanto / nante (なんという / なんと / なんて),how (beautiful; etc.); what a ~
N1,⏭️,nani shiro (何しろ（なにしろ）),at any rate; after all; anyhow; anyway; in any case; because; as you know ~
N1,➡️,nara dewa (ならでは),distinctive of; uniquely applying to; special to ~
N1,⚠️,nara iza shirazu / wa iza shirazu (ならいざしらず / はいざしらず),I don't know about ... but; it may be possible for ... but ~
N1,⏭️,nari (なり),as soon as; right after ~
N1,💪,nari ni / nari no (なりに / なりの),suitable; in one's own way/style
N1,1️⃣,nari tomo (なりとも),at least; even just a little (adverbial particle)
N1,➡️,nari~nari (なり～なり),[A] or [B] or something; for instance ~
N1,📥,nashi ni / nashi de (なしに / なしで),without; without doing ~
N1,➕,ni (に),and; in addition to; the combination of ~
N1,➡️,ni atai suru (に値する（にあたいする）),to be worth; to be worthy of; to deserve; to merit​ ~
N1,⏳,ni atte (にあって),at; on; during; in the condition of​ ~
N1,⏱️,ni hikikae (に引き換え（にひきかえ）),compared to; in contrast to; unlike; while; whereas ~
N1,➡️,ni itaru / ni itatta (に至る / に至った（にいたる / にいたった）),leads to; come to a conclusion
N1,⏸️,ni itaru made (に至るまで（にいたるまで）),as far as; up until; everything from ... to ~
N1,❓,ni itattemo (に至っても（にいたっても）),even if; even though; although something reached the point ~
N1,⏰,ni ittate wa (に至っては（にいたっては）),when it comes to; as for ~
N1,❓,ni iwasereba (に言わせれば（にいわせれば）),if you ask; if one may say ~
N1,❌,ni kagitta koto dewa nai (に限ったことではない（にかぎったことではない）),not limited to only ~
N1,❓,ni kakatte wa / ni kakattara / ni kakaru to / kakareba (にかかっては / にかかったら / にかかると / かかれば),when handled by (N); becomes a completely different result
N1,🤔,ni kakatteiru (にかかっている),depending on; to depend on; whether or not
N1,➡️,ni kako tsukete (にかこつけて),to use as a pretext; to use as an excuse
N1,➕,ni kamakete (にかまけて),to be too busy; to focus / concentrate only on ~
N1,🤔,ni katakunai (に難くない（にかたくない）),easy to do; it’s not hard to (imagine; understand; guess)
N1,➡️,ni matsuwaru (にまつわる),to be related to; to concern; associated with ~
N1,➡️,ni nottotte (に則って（にのっとって）),based on; according to; in accordance with ~
N1,➡️,ni sakigakete (に先駆けて（にさきがけて）),prior to; to be the first (pioneer); being ahead of ~
N1,💪,ni shinobinai (に忍びない（にしのびない）),cannot bring oneself (to do); unable to bear ~
N1,❓,ni shita tokoro de / to shita tokoro de (にしたところで / としたところで),even if; even supposing that ~
N1,📍,ni shite (にして),at / on / under certain conditions (time; position; age; number of times)
N1,🔄,ni sokushite (に即して（にそくして）),according to; in keeping with; to be based on ~
N1,💪,ni taeru / ni taenai (に耐える / に耐えない（にたえる / にたえない）),worth doing; can do; cannot bear doing ~
N1,💪,ni taranai / ni tarinai (に足らない / に足りない（にたらない / にたりない）),cannot; not worthy; not worth doing ~
N1,💪,ni taru / ni tariru (に足る / に足りる（にたる / にたりる）),can do; worthy; worth doing
N1,➡️,ni terashite (に照らして（にてらして）),according to; in view of; in light of ~
N1,⚠️,ni todomarazu (にとどまらず),not limited to; not only… but also ~
N1,❓,ni wa muri ga aru (には無理がある（にはむりがある）),difficult to do; is unreasonable / unrealistic / impossible
N1,⚡,ni yorazu (によらず),regardless of ~
N1,⏭️,ni~o kasanete (に～を重ねて（に～をかさねて）),success after continuous (effort; work; adjustments; etc.)
N1,💪,nimo hodo ga aru (にもほどがある),there is a limit to what is acceptable; to go too far
N1,⚖️,nimo mashite (にも増して（にもまして）),more than…; above ~
N1,✅,niwa ataranai (には当たらない（にはあたらない）),it’s not worth; there’s no need to; does not correspond to ~
N1,✅,niwa oyobanai (には及ばない（にはおよばない）),there is no need to; unnecessary; no match for ~
N1,🏆,no itari (の至り（のいたり）),utmost; extremely ~
N1,🏆,no kiwami (の極み（のきわみ）),utmost; extremely ~
N1,🔥,no nan notte (のなんのって),extremely ~ (cannot be expressed in words)
N1,💭,no yara / mono yara / koto yara (のやら / ものやら / ことやら),I wonder...; unsure; I don’t know ~
N1,🚫,no yara~no yara (のやら～のやら),or ~ (I don't know)
N1,➡️,o fumaete (を踏まえて（をふまえて）),to be based on; to take into account ~
N1,⏭️,o hete (を経て（をへて）),through; by way of; after; via ~
N1,➡️,o hikaete (を控えて（をひかえて）),to be soon; the time has come to; nearby; ahead of ~
N1,➡️,o ii koto ni (をいいことに),to take advantage of ~
N1,💪,o kaerimizu / mo kaerimizu (を顧みず / も顧みず（をかえりみず / もかえりみず）),despite; without considering; not worrying about; regardless of ~
N1,▶️,o kagiri ni (を限りに（をかぎりに）),starting from; the last time (ending a continued action)
N1,🎯,o kanete (を兼ねて（をかねて）),also for the purpose of ~
N1,⏭️,o kawakiri ni (を皮切りに（をかわきりに）),one after another; starting with ~
N1,➡️,o ki ni (を機に（をきに）),as an opportunity/chance to ~
N1,⚠️,o kinji enai (を禁じ得ない（をきんじえない）),can’t help but; can’t refrain from ~
N1,❌,o mono tomo sezuni (をものともせずに),in defiance of; not losing to / afraid / worrying about ~
N1,📍,o motte / o mochimashite (をもって / をもちまして),by means of; with; on / at / as of (time)​
N1,💪,o oite~nai (をおいて～ない),only; can only be; there is no alternative; only ~
N1,➡️,o oshite / o oshikitte (を押して / を押し切って（をおして / をおしきって）),to overcome (opposition); to push past ~
N1,⏮️,o sakai ni (を境に（をさかいに）),since ~ (indicates a large change before & after)
N1,💡,o yogi naku sareru (を余儀なくされる（をよぎなくされる）),to be forced to do something because one has no other choice
N1,💪,o yoso ni (をよそに),despite; without regards to ~
N1,➡️,o zentei toshite (を前提として（をぜんていとして）),with the intention to; on the condition / assumption ~
N1,💭,omoi o suru (思いをする（おもいをする）),to think; to feel ~
N1,⏰,ori ni (折に（おりに）),when; at the time; on the occasion ~
N1,👌,oyoso (およそ),about; roughly; generally; approximately; completely​ ~
N1,🔚,sa (さ),ending particle; indicates assertion
N1,❓,samo (さも),really (seem; appear; etc.); truly; as if ~
N1,❓,samonaito (さもないと),otherwise; or else; if not ~
N1,✔️,sazo (さぞ),surely; certainly; no doubt; indeed​ ~
N1,🔚,shimatsu da (始末だ（しまつだ）),end up; in the end; as a result (negative)
N1,⏭️,soba kara (そばから),as soon as; right after​ ~
N1,➡️,sobireru (そびれる),to miss a chance; to fail to do ~
N1,➡️,sokonau / sokoneru / sonjiru (損なう / 損ねる / 損じる（そこなう / そこねる / そんじる）),to do something wrong; by mistake; to miss a chance; to fail to ~
N1,💪,sube ga nai (術がない（すべがない）),there is no way / means; cannot do ~
N1,❗,sura / de sura (すら / ですら),even ~ (with emphasis)
N1,🎯,ta hazumi ni / ta hyoushi ni (た弾みに / た拍子に（たはずみに / たひょうしに）),the moment [A]; unintentionally / inadvertently caused something to happen
N1,↩️,ta koto ni suru / ta koto ni naru (たことにする / たことになる),pretend to; see things as untrue; contrary to the truth ~
N1,❓,ta tokoro de (たところで),even if; no matter (who; what; when; where; why; how)
N1,🚫,ta tsumori wa nai (たつもりはない),have no intention to / didn't mean to ~
N1,⚠️,tada~nomi da (ただ～のみだ),all we can do is; can do nothing but; only ~
N1,🚫,tameshi ga nai (ためしがない),is never the case; has never happened; I have never seen or heard of ~
N1,❓,tara saigo / taga saigo (たら最後 / たが最後（たらさいご / たがさいご）),if you do... negative result
N1,❓,tara~tade (たら～たで),if / in the case... of course / should ~
N1,❓,tara~tokoro da (たら～ところだ),if... (counterfactual condition); then would be ~
N1,❌,tari tomo (たりとも),not even; not any ~
N1,💡,taru mono / taru (たるもの / たる),(those) who are; (that) which is; in the capacity of ... should ~
N1,💪,te kanawanai (て敵わない（てかなわない）),can't bear to; unable to; troublesome to; can’t stand to ~
N1,📅,te kara to iu mono (てからというもの),ever since ~
N1,✔️,te miseru (てみせる),I’ll do my best; I'll definitely do; I'll show you ~
N1,💡,te shikaru beki da (てしかるべきだ),should; appropriate; it is natural to do ~
N1,💪,te sumu koto dewa nai (て済むことではない（てすむことではない）),~ is not enough to solve the problem; cannot be resolved by ~
N1,⚠️,te yamanai (てやまない),always; never stop; can’t help but ~
N1,⏮️,temae (手前（てまえ）),considering; before; in front of; one’s standpoint
N1,💪,temo dou ni mo naranai (てもどうにもならない),it's no use; can't do anything
N1,❓,temo sashitsukaenai (ても差し支えない（てもさしつかえない）),can ~; it’s okay if ~ (indicates permission or compromise)
N1,❓,temo shiranai (ても知らない（てもしらない）),if (you) continue... you'll end up / I don't care about it
N1,💡,to aimatte (と相まって（とあいまって）),together with...; more; because of the influence of...; more ~
N1,❓,to areba (とあれば),if it is the case that; if ~
N1,💡,to atte (とあって),due to the fact that; because of ~
N1,❓,to bakari ni (とばかりに),as if to say; as though~
N1,❓,to ie domo (といえども),even if; even though; despite ~
N1,💪,to ienaku mo nai (と言えなくもない（といえなくもない）),one can even say that; it can also be said that ~
N1,🤔,to ii~to ii (といい～といい),both ... and; not only ... also; whether it be ... or ~
N1,⚖️,to ittara nai (といったらない),extremely; very; nothing more ... than this; as ... as it could possibly be
N1,‼️,to iu (という),all; every single ~ (no exceptions)
N1,↔️,to iu ka~to iu ka (というか～というか),or rather; or perhaps I should say; I mean ~
N1,⏳,to iu mono (というもの),during; for; since; over a period of time
N1,⚖️,to iu tokoro da / to itta tokoro da (というところだ / といったところだ),at the most; no more than​; at best; roughly; about ~
N1,💭,to iu wake da (というわけだ),that's why; no wonder; this means; it is the case that ~
N1,❌,to iu wake dewa nai (というわけではない),it’s not that; it doesn’t mean that ~
N1,⚠️,to iwazu~to iwazu (といわず～といわず),both; not only A or B; but (overall) ~
N1,💡,to kiteiru (ときている),because of ~
N1,⚡,to miru to (とみると),as soon as one realizes ...; then ~
N1,⏭️,to miru ya (と見るや（とみるや）),at the sight of; upon seeing; after confirming ~
N1,❓,to naru to / to nareba (となると / となれば),when it comes to; in such a case; if that happens
N1,🤔,to sareru (とされる),is considered to; it is said that ~
N1,⏰,tokitara (ときたら),when it comes to; concerning ~
N1,🔀,tokoro o (ところを),although (it is a certain time/condition); even though normally
N1,💬,tomo arou mono ga (ともあろうものが),of all people (expression showing surprise at a high standing person's misbehavior)
N1,💭,tomo naku / tomo nashi ni (ともなく / ともなしに),somehow; without knowing; without thinking; unconsciously​ ~
N1,💪,tomo sureba (ともすれば),apt to (do); tend to; liable to; prone to ~
N1,💪,tomo~tomo (とも～とも),unable to draw a conclusion; unable to judge
N1,⭐,toriwake (とりわけ),especially; above all ~
N1,💯,toshita koto ga (としたことが),of all people; who would have thought?
N1,📍,tossa ni (とっさに),at once; right away; promptly
N1,❓,tote (とて),even; even if/though ~
N1,🚫,towa (とは),I didn't know; I was surprised that; the fact that ~
N1,🔀,towa ie (とはいえ),though; although; be that as it may; nonetheless
N1,⚖️,towa kurabemono ni naranai (とは比べものにならない（とはくらべものにならない）),can't compare with ~
N1,❓,towa utte kawatte / to wa utte kawari (とは打って変わって / とは打って変わり（とはうってかわって / とはうってかわり）),unlike; totally different; very different from ~
N1,➕,tsu~tsu (つ～つ),and ~ (indicates two contrasting actions)
N1,👌,tsukusu (尽くす（つくす）),to use up (completely without anything remaining); to exhaust; to run out of ~
N1,✔️,tteba / ttara (ってば / ったら),speaking of; I told you already; come on (annoyance / dissatisfaction)
N1,💪,uchi ni hairanai (うちに入らない（うちにはいらない）),not really; can't be regarded as ~
N1,🔚,wa (わ),feminine sentence ending particle
N1,⚠️,wa dou de are (はどうであれ),however; whatever​ ~
N1,✅,wa oroka (はおろか),let alone; not to mention; needless to say ~
N1,📥,wa sateoki (はさておき),setting aside ~
N1,🔄,wa socchinoke de / o socchinoke de (はそっちのけで / をそっちのけで),ignoring (one thing) for (another)​​; instead of ~
N1,⏲️,wa~wade (わ〜わで),and (listing negative things happening at the same time)
N1,⚡,ya ina ya (や否や（やいなや）),as soon as; the moment ~
N1,⚠️,ya shinai (やしない),should do; but don't; absolutely not; there's no way ~
N1,➡️,yare~yare (やれ～やれ),pattern to give two representative examples (usually negative)
N1,❓,you ga / you to (ようが / ようと),even if; no matter how/what ~
N1,❓,you ga~you ga / you to~you to (ようが～ようが / ようと～ようと),no matter; whether; even if [A] or [B]
N1,🔚,you ni yotte wa / you dewa (ようによっては / ようでは),depending on the way; depending on how; according to how ~
N1,❓,you nimo~nai (ようにも～ない),even if I wanted to… I couldn’t ~
N1,🤔,you to~mai to / you ga~mai ga (ようと～まいと / ようが～まいが),whether or not; regardless
N1,💡,yue ni (ゆえに),therefore; consequently​; because of; due to ~
N1,🔚,zo / ze (ぞ・ぜ),ending particle; adds force or indicates command
N1,🔚,zu jimai (ずじまい),ended up not doing ~
N1,✔️,zu niwa okanai / nai dewa okanai (ずにはおかない / ないではおかない),will definitely/certainly do something; cannot not ~
N1,⚠️,zu niwa sumanai / nai dewa sumanai (ずには済まない / ないでは済まない（ずにはすまない / ないではすまない）),must; will definitely; can’t help but to ~
N1,📥,zu tomo (ずとも),even without doing; even without being​ ~
N1,⚠️,zukume (ずくめ),completely; entirely; nothing but ~
N2,⏭️,ageku (あげく),to end up; in the end; finally; after all ~
N2,🤔,aruiwa (あるいは),or; either; maybe; perhaps; possibly ~
N2,📋,bakari (ばかり),about; approximately ~
N2,▶️,bakari da (ばかりだ),continue to (go in negative direction)
N2,⚠️,bakari ka (ばかりか),not only... but also; as well as ~
N2,💡,bakari ni (ばかりに),simply because; on account of~ (negative result)
N2,📥,chinamini (ちなみに),by the way; in this connection; incidentally; (conjunction)
N2,❌,chitto mo~nai (ちっとも～ない),(not) at all; (not) in the least ~
N2,💡,dake atte (だけあって),being the case; precisely because; as expected from ~
N2,⚖️,dake mashi da (だけましだ),it’s better than; one should feel grateful for ~
N2,💡,dake ni (だけに),being the case; precisely because; as one would expect
N2,💭,dake no koto wa aru (だけのことはある),no wonder; as expected of; not ... for nothing; not ... with nothing to show for it
N2,💪,dake wa (だけは),to do all that one can
N2,⏭️,datte (だって),because; but; after all; even; too
N2,⚖️,de shika nai (でしかない),merely; nothing but; no more than; there is only ~
N2,⚠️,dokoro dewa nai (どころではない),not the time for; not the place for; far from; anything but ~
N2,⚠️,dokoro ka (どころか),far from; anything but; let alone; not to mention; much less ~
N2,📌,dou yara (どうやら),possibly; apparently; seems like; somehow; barely ~
N2,⏭️,douse (どうせ),anyhow; in any case; at any rate; after all; no matter what
N2,💪,enai (得ない（えない）),unable to; cannot; it is not possible to ~
N2,💪,eru / uru (得る（える / うる）),can; to be able to; is possible to ~
N2,➕,futatabi (再び（ふたたび）),again; once more
N2,👉,fuu ni (ふうに),this way; that way; in such a way; how
N2,💫,ga kikkake de / o kikkake ni (がきっかけで / をきっかけに),with… as a start; as a result of; taking advantage of ~
N2,📌,ge (げ),looks like; seems like; appears to ~
N2,↩️,gyaku ni (逆に（ぎゃくに）),conversely; on the contrary ~
N2,⏱️,hanmen (反面（はんめん）),while; although; on the other hand~
N2,💪,hatashite (果たして（はたして）),as was expected; sure enough; really; actually ~
N2,➕,ichiou (一応（いちおう）),more or less; pretty much; roughly; tentatively ~
N2,📥,igai (以外（いがい）),with the exception of; excepting ~
N2,⚖️,ijou ni (以上に（いじょうに）),more than; not less than; beyond ~
N2,📅,ijou wa (以上は（いじょうは）),because; since; seeing that ~
N2,📥,ikinari (いきなり),abruptly; suddenly; all of a sudden; without warning
N2,⚡,ikki ni (一気に（いっきに）),in one go; without stopping; all at once; immediately; instantly; right away ~
N2,🔀,ippou de (一方で（いっぽうで）),on one hand; on the other hand; although ~
N2,🗣️,iwayuru (いわゆる),what is called; as it is called; the so-called; so to speak​
N2,🤔,iyoiyo (いよいよ),at last; finally; beyond doubt
N2,💪,jou (上（じょう）),for the sake of; from the standpoint of; as a matter of; in terms of ~
N2,❓,ka no you ni (かのように),as if; just like ~
N2,⏰,ka to omottara (かと思ったら（かとおもったら）),just when; no sooner than ~
N2,⏭️,ka~nai ka no uchi ni (か～ないかのうちに),just as; right after; as soon as ~
N2,➕,kaette (かえって),on the contrary; rather; all the more; surprisingly ~
N2,⏱️,kagiri (限り（かぎり）),as long as; while… is the case; as far as; while ~
N2,💪,kai ga aru (甲斐がある（かいがある）),it’s worth one’s efforts to do something
N2,🤔,kanenai (かねない),(someone) might do something; something might happen
N2,💪,kaneru (かねる),unable to do something; can’t do something
N2,⬅️,kara iu to (から言うと（からいうと）),in terms of; from the point of view of ~
N2,💡,kara koso (からこそ),precisely because ~
N2,⬅️,kara miru to (から見ると（からみると）),from the point of view of; by the look of; judging from ~
N2,📅,kara niwa (からには),now that; since; so long as; because ~
N2,📅,kara shite (からして),judging from; based on; since; from; even ~
N2,🤔,kara suru to / kara sureba (からすると / からすれば),judging from; considering; by the look of ~
N2,❓,kara to itte (からと言って（からといって）),just because; even if; even though ~
N2,✔️,kkonai (っこない),no chance of; … is definitely not possible
N2,💡,koto da (ことだ),should do~ (used for suggestions or giving advice)
N2,📅,koto dakara (ことだから),because; since ~
N2,📍,koto ka (ことか),how…!; what…!
N2,➡️,koto naku (ことなく),without doing something even once
N2,💗,koto ni (ことに),emphasize speaker's feelings; to my (surprise/etc)
N2,💡,koto niwa naranai (ことにはならない),just because… doesn’t mean ~
N2,🔀,kuse shite (くせして),although; despite the fact that; even though ~
N2,⬆️,madashimo (まだしも),rather; better​ ~
N2,🤔,mai (まい),will not; will probably not; intend not to; must not ~
N2,➡️,mama ni (ままに),as; to do as ~
N2,❌,mattaku~nai (全く～ない（まったく～ない）),not at all ~
N2,📋,mo kamawazu (もかまわず),without caring; without worrying about ~
N2,🤔,mo touzen da (も当然だ（もとうぜんだ）),it’s only natural; no wonder; might as well ~
N2,💡,mono / mon (もの / もん),because; indicates reason/ excuse/ dissatisfaction
N2,💗,mono da (ものだ),describe feeling; express memories; state fact
N2,🧠,mono dakara (ものだから),so; therefore; the reason for something
N2,🎲,mono dewa nai (ものではない),shouldn’t do something; it’s impossible to ~
N2,📌,mono ga aru (ものがある),there is such a thing; to be the case that​; feels like ~
N2,❓,mono ka / mon ka (ものか / もんか),as if (something untrue were actually true); there's no way ~
N2,❓,mono nara (ものなら),if I/we could; if [A] is possible; then [B]; if one can do something; then ~
N2,⚠️,monono (ものの),but; although; even though ~
N2,⚠️,motto mo (もっとも),but then; although; though ~
N2,🏆,mou sukoshi de (もう少しで（もうすこしで）),almost; nearly; close to ~
N2,⚠️,nai dewa irarenai (ないではいられない),can’t help but feel; can’t help but do ~
N2,⚠️,nai koto niwa~nai (ないことには～ない),unless you ~
N2,⏰,naka o / naka dewa (中を / 中では（なかを / なかでは）),in; on; in the midst of; when; while ~
N2,🤔,naku wa nai / naku mo nai (なくはない / なくもない),it’s not that; I may (double negative)
N2,📥,nakute sumu (なくて済む（なくてすむ）),get by without doing ~
N2,✅,nani mo~nai (何も～ない（なにも～ない）),nothing; (not) ~ at all; there’s no need to ~
N2,➕,nao (なお),still; yet​; furthermore; in addition ~
N2,‼️,neba naranai (ねばならない),have to do; must; should ~
N2,📍,ni atatte (にあたって),at the time; on the occasion of ~
N2,⚖️,ni hoka naranai (にほかならない),nothing but; none other than ~
N2,⚠️,ni kagirazu (に限らず（にかぎらず）),not just; not only... but also ~
N2,⚖️,ni kagiru (に限る（にかぎる）),is best; nothing is better than ~
N2,📥,ni kagitte (に限って（にかぎって）),only; in particular ~
N2,📥,ni kakawarazu (に関わらず（にかかわらず）),in spite of; regardless of ~
N2,📋,ni kakawaru (に関わる（にかかわる）),to relate to; to have to do with; relating to ~
N2,✔️,ni kimatte iru (に決まっている（にきまっている）),certainly; I’m sure/certain that; it must be the case that ~
N2,⚖️,ni koshita koto wa nai (に越したことはない（にこしたことはない）),it’s best that; there’s nothing better than ~
N2,➡️,ni kotaete (に応えて（にこたえて）),in response to ~
N2,➕,ni kuwaete (に加えて（にくわえて）),in addition ~
N2,📊,ni motozuite (に基づいて（にもとづいて）),based on; on the basis of ~
N2,➡️,ni mukatte (に向かって（にむかって）),to face; to go towards; to head to ~
N2,🔚,ni oujite (に応じて（におうじて）),depending on; in accordance with ~
N2,📍,ni saishite (に際して（にさいして）),on the occasion of; at the time of ~
N2,⏮️,ni sakidachi (に先立ち（にさきだち）),before; prior to ~
N2,❓,ni seyo/ ni shiro (にせよ/ にしろ),even if; regardless; whether... or ~
N2,🤔,ni shiro~ni shiro (にしろ～にしろ),whether… or ~
N2,⬅️,ni shitara / ni sureba (にしたら / にすれば),from one’s perspective; from the point of view of ~
N2,🤔,ni shitemo~ni shitemo (にしても～にしても),regardless of whether ~
N2,📥,ni sotte (に沿って（にそって）),along with; in accordance with ~
N2,🤔,ni soui nai (に相違ない（にそういない）),without a doubt; certain; sure
